countryId,div1Idd,selbyNumber,latitudeDD,longitudeDD
Ecuador,Azuay,48218,-3.660786,-79.224133
Ecuador,Azuay,71622,-3.251605,-79.055562
Ecuador,Azuay,68667,-2.892642,-78.778137
Ecuador,Azuay,68666,-2.892642,-78.778137
Ecuador,Azuay,37807,-2.936764,-79.183821
Ecuador,Azuay,38346,-3.143108,-79.015599
Ecuador,Azuay,38378,-3.143108,-79.015599
Ecuador,Azuay,15601,-2.847414,-79.114116
Ecuador,Azuay,19370,-2.871742,-79.157649
Ecuador,Azuay,47147,-2.889573,-78.955089
Ecuador,Azuay,47145,-2.794504,-79.345017
Ecuador,Azuay,53158,-2.889658,-79.005814
Ecuador,Azuay,53155,-2.774357,-79.369822
Ecuador,Azuay,15594,-2.756099,-79.356486
Ecuador,Azuay,15596,-2.756099,-79.356486
Ecuador,Azuay,15595,-2.756099,-79.356486
Ecuador,Azuay,25189,-2.911946,-79.376946
Ecuador,Azuay,76340,-2.85837,-79.093791
Ecuador,Azuay,63877,-2.879972,-78.954402
Ecuador,Azuay,38350,-2.900545,-79.004527
Ecuador,Azuay,15575,-2.844607,-79.118579
Ecuador,Azuay,116174,-3.344401,-79.21301
Ecuador,Azuay,15622,-3.343452,-79.206247
Ecuador,Azuay,18377,-2.857385,-79.224456
Ecuador,Azuay,15603,-2.857385,-79.224456
Ecuador,Azuay,15646,-2.933446,-79.10357
Ecuador,Azuay,53702,-2.844898,-79.147141
Ecuador,Azuay,3174,-2.846338,-79.177114
Ecuador,Azuay,616,-2.846338,-79.177114
Ecuador,Azuay,19306,-3.118797,-79.27844
Ecuador,Azuay,386,-3.177569,-79.114825
Ecuador,Azuay,17387,-2.983333,-79.016667
Ecuador,Azuay,17401,-2.983333,-79.016667
Ecuador,Azuay,89280,-2.892642,-78.778137
Ecuador,Azuay,696,-3.183943,-79.240151
Ecuador,Azuay,24526,-3.478676,-79.170649
Ecuador,Azuay,24525,-3.478676,-79.170649
Ecuador,Azuay,1261,-3.245334,-79.058853
Ecuador,Azuay,2234,-3.245334,-79.058853
Ecuador,Azuay,46636,-3.245334,-79.058853
Ecuador,Azuay,18326,-2.630322,-79.471446
Ecuador,Azuay,36163,-2.840094,-78.870319
Ecuador,Azuay,44885,-3.340708,-79.178362
Ecuador,Azuay,35906,-3.00543,-79.343693
Ecuador,Azuay,43109,-2.808049,-79.009763
Ecuador,Azuay,17397,-3.051298,-78.794502
Ecuador,Azuay,48253,-3.262613,-79.069968
Ecuador,Azuay,40361,-3.060601,-79.196445
Ecuador,Azuay,43077,-2.796619,-78.858215
Ecuador,Azuay,43102,-0.459521,-76.99312
Ecuador,Azuay,40370,-2.796619,-78.858215
Ecuador,Azuay,54064,-2.83004,-79.262204
Ecuador,Azuay,24807,-3.274707,-79.314752
Ecuador,Azuay,41963,-3.083333,-79.333333
Ecuador,Azuay,35142,-3.031222,-79.43221
Ecuador,Azuay,53709,-3.083333,-79.333333
Ecuador,Azuay,35127,-3.083333,-79.333333
Ecuador,Azuay,72367,-2.779275,-78.762131
Ecuador,Azuay,21578,-2.787809,-78.729384
Ecuador,Azuay,2977,-2.880658,-79.078341
Ecuador,Azuay,97927,-2.77844,-79.402801
Ecuador,Azuay,97920,-2.9823,-79.683474
Ecuador,Azuay,107850,-2.9823,-79.683474
Ecuador,Azuay,107878,-2.767038,-79.39705
Ecuador,Azuay,107879,-2.767038,-79.39705
Ecuador,Azuay,107880,-2.767038,-79.39705
Ecuador,Azuay,107803,-2.767038,-79.39705
Ecuador,Azuay,97960,-2.9823,-79.683474
Ecuador,Azuay,107767,-2.9823,-79.683474
Ecuador,Azuay,97917,-2.9823,-79.683474
Ecuador,Azuay,107871,-2.9823,-79.683474
Ecuador,Azuay,107866,-2.9823,-79.683474
Ecuador,Azuay,107856,-2.767038,-79.39705
Ecuador,Azuay,63868,-3.054868,-79.066611
Ecuador,Azuay,76344,-3.062374,-79.074565
Ecuador,Azuay,565,-2.912597,-79.060923
Ecuador,Azuay,1899,-2.958148,-79.104777
Ecuador,Azuay,18280,-2.833333,-78.483333
Ecuador,Azuay,47148,-2.816667,-79.266667
Ecuador,Azuay,20989,-2.826268,-78.93845
Ecuador,Azuay,42346,-3.160762,-79.147519
Ecuador,Azuay,42351,-3.160762,-79.147519
Ecuador,Azuay,42403,-3.160762,-79.147519
Ecuador,Azuay,42352,-3.160762,-79.147519
Ecuador,Azuay,42372,-3.160762,-79.147519
Ecuador,Azuay,25379,-2.59652,-78.610704
Ecuador,Azuay,35865,-2.779275,-78.762131
Ecuador,Azuay,53690,-2.779275,-78.762131
Ecuador,Azuay,38270,-2.779275,-78.762131
Ecuador,Azuay,61967,-2.767038,-79.39705
Ecuador,Azuay,45222,-3.106465,-79.064452
Ecuador,Azuay,46945,-2.957276,-78.466917
Ecuador,Azuay,35032,-2.957276,-78.466917
Ecuador,Azuay,40366,-2.846597,-78.900805
Ecuador,Azuay,35206,-2.957276,-78.466917
Ecuador,Azuay,35204,-2.914759,-78.664671
Ecuador,Azuay,46802,-2.991906,-78.67069
Ecuador,Azuay,106359,-3.389065,-79.186699
Ecuador,Azuay,25391,-3.603736°,-79.199452°
Ecuador,Azuay,45232,-3.160762,-79.147519
Ecuador,Azuay,45224,-3.151164,-79.058942
Ecuador,Azuay,76873,-2.767038,-79.39705
Ecuador,Azuay,76871,-2.767038,-79.39705
Ecuador,Azuay,45187,-2.791175,-79.367733
Ecuador,Azuay,25407,-2.826394,-79.146233
Ecuador,Azuay,15645,-2.776314,-79.178491
Ecuador,Azuay,15604,-2.776314,-79.178491
Ecuador,Azuay,802348,-2.776314,-79.178491
Ecuador,Azuay,19331,-2.777874,-79.170835
Ecuador,Azuay,40,-2.777874,-79.170835
Ecuador,Azuay,37196,-2.776314,-79.178491
Ecuador,Azuay,76289,-2.767038,-79.39705
Ecuador,Azuay,54109,-2.767038,-79.39705
Ecuador,Azuay,24740,-2.783635,-79.203364
Ecuador,Azuay,45223,-3.13561,-79.020842
Ecuador,Azuay,103965,-2.776889,-79.169039
Ecuador,Azuay,21561,-2.800536,-78.700505
Ecuador,Azuay,97099,-3.057349,-3.057349
Ecuador,Azuay,97080,-3.057349,-79.012036
Ecuador,Azuay,97081,-3.057349,-79.012036
Ecuador,Azuay,97086,-3.057349,-79.012036
Ecuador,Azuay,97088,-3.057349,-79.012036
Ecuador,Azuay,97095,-3.057349,-79.012036
Ecuador,Azuay,35027,-2.798821,-78.721276
Ecuador,Azuay,41962,-3.083333,-79.333333
Ecuador,Azuay,114234,-2.714913,-79.419709
Ecuador,Azuay,42371,-3.138823,-79.115247
Ecuador,Azuay,107835,-2.994373,-79.03493
Ecuador,Azuay,107947,-3.065869,-78.772358
Ecuador,Azuay,18350,-2.78389,-79.178813
Ecuador,Azuay,43072,-3.240645,-79.284357
Ecuador,Azuay,101575,-3.253419,-79.55727
Ecuador,Azuay,44799,-2.382809°,-79.166788°
Ecuador,Azuay,15592,-2.669593,-79.465748
Ecuador,Azuay,115524,-2.669593,-79.465748
Ecuador,Azuay,37242,-2.997163,-79.152596
Ecuador,Azuay,37228,-2.997163,-79.152596
Ecuador,Azuay,37244,-2.997163,-79.152596
Ecuador,Azuay,37246,-2.997163,-79.152596
Ecuador,Azuay,37238,-2.997163,-79.152596
Ecuador,Azuay,25402,-2.853912,-79.234553
Ecuador,Azuay,37824,-3.026614,-78.791069
Ecuador,Azuay,47146,-2.840745,-79.423072
Ecuador,Azuay,53224,-3.271869,-79.087935
Ecuador,Azuay,15644,-2.794635,-79.184065
Ecuador,Azuay,25367,-3.1183,-79.173079
Ecuador,Azuay,24739,-2.805724,-78.956167
Ecuador,Azuay,20991,-2.805724,-78.956167
Ecuador,Azuay,17197,-2.912889,-79.159709
Ecuador,Azuay,45190,-2.786242,-79.199296
Ecuador,Azuay,45186,-2.786242,-79.199296
Ecuador,Azuay,45147,-2.7931,-79.285813
Ecuador,Azuay,45189,-2.786242,-79.199296
Ecuador,Azuay,45169,-2.806189,-79.327646
Ecuador,Azuay,45153,-2.786242,-79.199296
Ecuador,Azuay,45057,-3.278544,-78.634277
Ecuador,Azuay,45056,-3.278544,-78.634277
Ecuador,Azuay,22335,-3.804174,-79.290126
Ecuador,Azuay,44881,-3.123891,-78.790398
Ecuador,Azuay,86425,-2.791998,-79.173546
Ecuador,Azuay,2494,-2.791998,-79.173546
Ecuador,Azuay,2253,-2.791998,-79.173546
Ecuador,Azuay,2349,-2.791998,-79.173546
Ecuador,Azuay,183,-2.926604,-79.375316
Ecuador,Azuay,25364,-2.791998,-79.173546
Ecuador,Azuay,2379,-3.33957,-79.203906
Ecuador,Azuay,53254,-3.344963,-79.18357
Ecuador,Azuay,103971,-3.33957,-79.203906
Ecuador,Azuay,25347,-2.865142,-78.955212
Ecuador,Azuay,79975,-2.734803,-79.406663
Ecuador,Azuay,43076,-2.865914,-78.933303
Ecuador,Azuay,25674,-3.64947,-79.246108
Ecuador,Azuay,17207,-3.392727,-79.179472
Ecuador,Azuay,17446,-2.833333,-78.483333
Ecuador,Azuay,697,-3.204347,-79.314362
Ecuador,Azuay,76345,-2.921046,-79.068356
Ecuador,Azuay,32305,-2.900545,-79.004527
Ecuador,Azuay,41961,-2.900545,-79.004527
Ecuador,Azuay,17205,-2.451735,-79.005961
Ecuador,Azuay,18345,-2.913403,-78.995944
Ecuador,Azuay,24529,-3.418313,-79.163302
Ecuador,Azuay,25655,-3.418313,-79.163302
Ecuador,Azuay,20978,-3.418313,-79.163302
Ecuador,Azuay,20977,-3.418313,-79.163302
Ecuador,Azuay,20979,-3.418313,-79.163302
Ecuador,Azuay,24530,-3.418313,-79.163302
Ecuador,Azuay,25624,-3.418313,-79.163302
Ecuador,Azuay,25632,-3.418313,-79.163302
Ecuador,Azuay,25633,-3.418313,-79.163302
Ecuador,Azuay,25646,-2.971317,-79.034212
Ecuador,Azuay,25430,-2.971317,-79.034212
Ecuador,Azuay,25647,-2.971317,-79.034212
Ecuador,Azuay,24528,-2.971317,-79.034212
Ecuador,Azuay,24527,-2.906031,-79.005042
Ecuador,Azuay,25366,-2.971317,-79.034212
Ecuador,Azuay,17204,-3.256571,-79.039924
Ecuador,Azuay,35351,-2.971317,-79.034212
Ecuador,Azuay,25386,-2.971317,-79.034212
Ecuador,Azuay,18276,-2.971317,-79.034212
Ecuador,Azuay,17206,-2.971317,-79.034212
Ecuador,Azuay,25194,-2.971317,-79.034212
Ecuador,Azuay,18375,-2.971317,-79.034212
Ecuador,Azuay,104080,-2.816667,-79.266667
Ecuador,Azuay,104050,-2.816667,-79.266667
Ecuador,Azuay,104056,-2.816667,-79.266667
Ecuador,Azuay,25363,-2.816667,-79.266667
Ecuador,Azuay,15598,-2.851153,-79.251027
Ecuador,Azuay,18384,-2.851153,-79.251027
Ecuador,Azuay,17203,-3.0868,-79.121694
Ecuador,Azuay,25399,-2.777715,-79.191048
Ecuador,Azuay,18349,-2.851153,-79.251027
Ecuador,Azuay,38380,-2.851153,-79.251027
Ecuador,Azuay,37245,-2.851153,-79.251027
Ecuador,Azuay,38351,-2.851153,-79.251027
Ecuador,Azuay,37195,-2.851153,-79.251027
Ecuador,Azuay,15606,-2.844607,-79.118579
Ecuador,Azuay,15599,-2.820752,-79.281465
Ecuador,Azuay,18329,-2.851153,-79.251027
Ecuador,Azuay,89026,-2.767038,-79.39705
Ecuador,Azuay,17428,-2.833333,-78.483333
Ecuador,Azuay,38480,-2.999015,-78.805488
Ecuador,Azuay,19371,-2.851153,-79.251027
Ecuador,Azuay,53232,-2.871057,-79.110957
Ecuador,Azuay,53156,-2.871057,-79.110957
Ecuador,Azuay,35352,-2.892642,-78.778137
Ecuador,Azuay,97936,0.904898,-78.118892
Ecuador,Azuay,97924,-2.83471,-79.00178
Ecuador,Azuay,53252,-3.625536,-79.238997
Ecuador,Azuay,37191,-3.062098,-78.794502
Ecuador,Azuay,20988,-2.869857,-78.96144
Ecuador,Azuay,21440,-2.973047,-79.195881
Ecuador,Azuay,63867,-3.466937,-79.12775
Ecuador,Azuay,63881,-3.518511,-79.056768
Ecuador,Azuay,102963,-2.779461,-79.244694
Ecuador,Azuay,103128,-2.756698,-79.416451
Ecuador,Azuay,103160,-2.932604,-79.035598
Ecuador,Azuay,103141,-2.756328,-79.417499
Ecuador,Azuay,103159,-2.756328,-79.417499
Ecuador,Azuay,65526,-3.008362,-79.20297
Ecuador,Azuay,36109,-3.16519,-79.024815
Ecuador,Azuay,63864,-2.722142,-78.641498
Ecuador,Azuay,72222,-2.722142,-78.641498
Ecuador,Azuay,54095,-2.933333,-79.35
Ecuador,Azuay,2167,-3.437922,-79.042383
Ecuador,Azuay,62333,-3.180173,-78.997064
Ecuador,Azuay,32013,-3.432566,-79.038001
Ecuador,Azuay,647,-3.186685,-79.247017
Ecuador,Azuay,1859,-3.186685,-79.247017
Ecuador,Azuay,1238,-3.23789,-79.075938
Ecuador,Azuay,113500,-3.422498,-79.175606
Ecuador,Azuay,627,-3.422498,-79.175606
Ecuador,Azuay,1343,-3.201326,-79.031554
Ecuador,Azuay,1324,-3.649801,-79.257392
Ecuador,Azuay,1316,-3.422498,-79.175606
Ecuador,Azuay,639,-3.422498,-79.175606
Ecuador,Azuay,41,-3.422498,-79.175606
Ecuador,Azuay,2350,-3.422498,-79.175606
Ecuador,Azuay,107948,-2.892642,-78.778137
Ecuador,Azuay,45231,-3.131741,-79.073834
Ecuador,Azuay,53692,-3.113427,-79.276125
Ecuador,Azuay,103980,-2.274585,-78.823839
Ecuador,Azuay,2344,-2.795558,-78.660249
Ecuador,Azuay,40369,-2.819251,-78.863022
Ecuador,Azuay,53245,-3.066319,-79.024034
Ecuador,Azuay,98085,-2.954719,-79.00796
Ecuador,Azuay,97962,-2.991236,-79.04429
Ecuador,Azuay,17386,-2.991236,-79.04429
Ecuador,Azuay,97968,-3.030321,-79.024377
Ecuador,Azuay,107842,-3.030321,-79.024377
Ecuador,Azuay,97974,-3.030321,-79.024377
Ecuador,Azuay,107847,-3.030321,-79.024377
Ecuador,Azuay,107868,-3.030321,-79.024377
Ecuador,Azuay,107794,-2.976837,-79.060755
Ecuador,Azuay,42542,-3.170192,-79.053903
Ecuador,Azuay,42376,-3.170192,-79.053903
Ecuador,Azuay,42350,-3.170192,-79.053903
Ecuador,Azuay,42344,-3.170192,-79.053903
Ecuador,Azuay,42368,-3.170192,-79.053903
Ecuador,Azuay,42342,-3.170192,-79.053903
Ecuador,Azuay,42375,-3.170192,-79.053903
Ecuador,Azuay,42377,-3.170192,-79.053903
Ecuador,Azuay,42343,-3.170192,-79.053903
Ecuador,Azuay,42345,-3.170192,-79.053903
Ecuador,Azuay,42406,-3.127402,-79.08007
Ecuador,Azuay,89050,-3.127402,-79.08007
Ecuador,Azuay,42374,-3.127402,-79.08007
Ecuador,Azuay,91992,-3.596867,-78.972842
Ecuador,Azuay,91991,-3.596867,-78.972842
Ecuador,Azuay,91990,-3.596867,-78.972842
Ecuador,Azuay,91989,-3.596867,-78.972842
Ecuador,Azuay,91988,-3.596867,-78.972842
Ecuador,Azuay,37329,-3.065612,-78.776993
Ecuador,Azuay,107926,-3.07504,-78.757938
Ecuador,Azuay,89509,-3.092267,-78.783516
Ecuador,Azuay,89231,-3.092267,-78.783516
Ecuador,Azuay,15589,-2.843835,-79.131539
Ecuador,Azuay,43098,-3.402322,-79.184514
Ecuador,Azuay,76287,-2.802792,-78.654035
Ecuador,Azuay,24736,-2.850075,-78.955493
Ecuador,Azuay,26724,-2.793849,-78.728657
Ecuador,Azuay,63880,-2.842354,-79.15086
Ecuador,Azuay,72230,-2.78719,-79.158835
Ecuador,Azuay,37322,-3.163228,-78.816131
Ecuador,Azuay,44578,-3.016477,-79.565743
Ecuador,Azuay,37211,-3.089392,-78.768725
Ecuador,Azuay,37232,-3.172158,-78.819547
Ecuador,Azuay,17450,-3.032204,-79.463206
Ecuador,Azuay,42438,-3.043347,-79.471017
Ecuador,Azuay,35726,-3.025651,-79.57735
Ecuador,Azuay,17410,-2.823013,-79.344235
Ecuador,Azuay,2135,-2.778675,-79.23334
Ecuador,Azuay,645,-2.778675,-79.23334
Ecuador,Azuay,2347,-2.789209,-79.176592
Ecuador,Azuay,3186,-2.904402,-79.302617
Ecuador,Azuay,107756,-2.778675,-79.23334
Ecuador,Azuay,2164,-2.778675,-79.23334
